,Home Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Red Cards,Full Time Result
2208,34,4.0,5.0,10.0,19.0,63.0,27.0,21.0,12.0,4.0,0.0,5.0,0.0,8.0,33.0,77.0,31.0,25.0,7.0,1.0,0.0,0
2209,65,3.0,6.0,6.0,23.0,84.0,29.0,22.0,18.0,4.0,0.0,3.0,3.0,5.0,28.0,68.0,11.0,22.0,18.0,4.0,0.0,0
2210,75,7.0,3.0,5.0,23.0,87.0,19.0,8.0,16.0,3.0,0.0,3.0,5.0,1.0,18.0,65.0,19.0,29.0,17.0,2.0,0.0,1
2211,47,4.0,6.0,1.0,15.0,80.0,22.0,19.0,17.0,1.0,0.0,7.0,2.0,8.0,15.0,81.0,18.0,6.0,16.0,2.0,0.0,0
2212,32,1.0,6.0,3.0,10.0,77.0,10.0,27.0,19.0,3.0,0.0,8.0,2.0,8.0,17.0,88.0,7.0,9.0,10.0,4.0,0.0,1
2213,52,1.0,5.0,2.0,23.0,71.0,23.0,19.0,12.0,1.0,0.0,9.0,7.0,4.0,37.0,73.0,27.0,16.0,15.0,1.0,0.0,0
2214,70,6.0,4.0,3.0,21.0,88.0,28.0,7.0,13.0,3.0,0.0,3.0,2.0,1.0,18.0,65.0,17.0,19.0,14.0,2.0,0.0,0
2215,36,3.0,4.0,2.0,7.0,77.0,15.0,12.0,13.0,0.0,0.0,3.0,8.0,5.0,27.0,88.0,5.0,6.0,14.0,4.0,0.0,0
2216,57,12.0,4.0,1.0,19.0,90.0,7.0,19.0,9.0,0.0,0.0,2.0,0.0,4.0,12.0,86.0,10.0,5.0,18.0,2.0,0.0,0
2217,58,6.0,5.0,8.0,37.0,67.0,37.0,19.0,8.0,1.0,0.0,5.0,6.0,5.0,34.0,62.0,18.0,19.0,13.0,0.0,0.0,2
2218,31,2.0,5.0,0.0,16.0,76.0,17.0,20.0,19.0,1.0,0.0,5.0,6.0,5.0,19.0,88.0,13.0,3.0,13.0,1.0,0.0,2
2219,41,5.0,4.0,5.0,28.0,54.0,23.0,26.0,22.0,6.0,0.0,3.0,1.0,4.0,42.0,69.0,46.0,11.0,11.0,3.0,0.0,0
2220,40,1.0,7.0,2.0,14.0,81.0,10.0,16.0,16.0,3.0,0.0,2.0,8.0,11.0,16.0,86.0,17.0,6.0,12.0,2.0,0.0,0
2221,42,5.0,3.0,4.0,16.0,80.0,18.0,13.0,23.0,4.0,0.0,4.0,6.0,2.0,22.0,87.0,17.0,15.0,10.0,3.0,0.0,2
2222,73,5.0,5.0,3.0,13.0,92.0,13.0,12.0,11.0,3.0,0.0,3.0,3.0,1.0,16.0,77.0,14.0,12.0,15.0,5.0,0.0,1
2223,52,9.0,1.0,3.0,15.0,83.0,16.0,19.0,9.0,1.0,0.0,5.0,4.0,5.0,22.0,79.0,17.0,20.0,12.0,0.0,0.0,2
2224,55,2.0,4.0,6.0,32.0,74.0,33.0,15.0,18.0,3.0,0.0,1.0,4.0,2.0,26.0,63.0,20.0,24.0,17.0,2.0,0.0,2
2225,46,6.0,1.0,1.0,19.0,83.0,12.0,11.0,10.0,3.0,0.0,7.0,6.0,5.0,19.0,89.0,7.0,11.0,16.0,1.0,0.0,2
2226,47,9.0,4.0,8.0,30.0,82.0,14.0,20.0,10.0,2.0,0.0,4.0,3.0,3.0,19.0,84.0,10.0,20.0,12.0,1.0,0.0,1
2227,55,4.0,4.0,9.0,39.0,67.0,43.0,13.0,8.0,1.0,0.0,3.0,6.0,4.0,29.0,56.0,52.0,22.0,12.0,1.0,0.0,2
2228,63,5.0,4.0,4.0,28.0,83.0,24.0,9.0,11.0,2.0,0.0,1.0,3.0,3.0,14.0,74.0,22.0,17.0,15.0,1.0,0.0,0
2229,68,2.0,4.0,6.0,32.0,85.0,10.0,20.0,15.0,5.0,0.0,5.0,3.0,5.0,31.0,61.0,14.0,18.0,22.0,5.0,0.0,0
2230,48,7.0,3.0,4.0,15.0,85.0,11.0,14.0,14.0,2.0,0.0,6.0,1.0,5.0,21.0,82.0,15.0,11.0,11.0,1.0,0.0,0
2231,44,4.0,1.0,2.0,19.0,71.0,14.0,20.0,20.0,5.0,0.0,6.0,3.0,8.0,22.0,81.0,22.0,9.0,18.0,4.0,0.0,1
2232,53,1.0,3.0,1.0,21.0,74.0,29.0,13.0,13.0,3.0,0.0,5.0,0.0,3.0,30.0,70.0,30.0,12.0,17.0,2.0,0.0,0
2233,54,11.0,4.0,7.0,23.0,75.0,30.0,14.0,18.0,2.0,0.0,1.0,3.0,3.0,31.0,70.0,22.0,20.0,14.0,2.0,0.0,1
2234,44,4.0,1.0,3.0,20.0,81.0,17.0,12.0,13.0,4.0,0.0,6.0,4.0,2.0,21.0,85.0,8.0,11.0,8.0,3.0,0.0,2
2235,63,4.0,2.0,0.0,20.0,81.0,20.0,14.0,15.0,3.0,0.0,1.0,2.0,3.0,19.0,65.0,18.0,13.0,22.0,3.0,0.0,2
2236,48,2.0,2.0,2.0,18.0,56.0,34.0,19.0,18.0,5.0,0.0,2.0,1.0,2.0,37.0,59.0,35.0,6.0,21.0,4.0,0.0,1
2237,32,5.0,4.0,2.0,12.0,81.0,6.0,17.0,11.0,1.0,0.0,4.0,12.0,6.0,10.0,93.0,12.0,4.0,11.0,0.0,0.0,2
2238,46,3.0,4.0,4.0,16.0,80.0,14.0,12.0,17.0,3.0,0.0,4.0,3.0,2.0,27.0,82.0,12.0,12.0,12.0,2.0,0.0,1
2239,63,4.0,3.0,11.0,22.0,84.0,34.0,29.0,11.0,2.0,0.0,10.0,3.0,8.0,22.0,68.0,22.0,22.0,16.0,1.0,0.0,0
2240,59,3.0,4.0,5.0,17.0,87.0,14.0,9.0,9.0,3.0,0.0,4.0,5.0,2.0,18.0,81.0,4.0,12.0,5.0,0.0,0.0,0
2241,51,3.0,4.0,6.0,22.0,83.0,14.0,14.0,14.0,4.0,0.0,6.0,2.0,2.0,24.0,81.0,17.0,14.0,13.0,3.0,0.0,1
2242,41,1.0,2.0,1.0,36.0,64.0,14.0,8.0,19.0,4.0,1.0,2.0,3.0,3.0,29.0,74.0,26.0,15.0,10.0,1.0,1.0,2
2243,57,5.0,8.0,5.0,29.0,75.0,21.0,19.0,9.0,1.0,0.0,2.0,2.0,8.0,31.0,64.0,22.0,19.0,17.0,5.0,0.0,0
2244,74,4.0,2.0,6.0,19.0,90.0,13.0,14.0,8.0,0.0,1.0,5.0,2.0,5.0,12.0,72.0,15.0,19.0,12.0,3.0,1.0,0
2245,58,1.0,1.0,8.0,33.0,62.0,42.0,21.0,21.0,3.0,0.0,6.0,1.0,1.0,28.0,52.0,46.0,15.0,13.0,3.0,0.0,1
2246,46,9.0,5.0,1.0,15.0,79.0,16.0,15.0,11.0,3.0,0.0,5.0,2.0,5.0,19.0,80.0,11.0,4.0,20.0,1.0,0.0,0
2247,33,6.0,4.0,4.0,22.0,69.0,21.0,16.0,18.0,3.0,0.0,7.0,7.0,7.0,31.0,83.0,26.0,13.0,9.0,2.0,0.0,2
2248,68,8.0,5.0,8.0,17.0,84.0,36.0,19.0,12.0,2.0,0.0,0.0,3.0,3.0,26.0,57.0,20.0,26.0,13.0,3.0,0.0,2
2249,71,5.0,8.0,3.0,22.0,91.0,6.0,11.0,5.0,0.0,0.0,4.0,4.0,2.0,24.0,74.0,16.0,18.0,17.0,1.0,0.0,0
2250,53,7.0,5.0,3.0,27.0,72.0,30.0,10.0,10.0,2.0,0.0,7.0,3.0,4.0,26.0,71.0,25.0,41.0,11.0,2.0,0.0,0
2251,35,6.0,4.0,4.0,13.0,82.0,5.0,12.0,15.0,2.0,0.0,1.0,6.0,5.0,14.0,88.0,15.0,21.0,13.0,2.0,0.0,2
2252,38,3.0,4.0,2.0,22.0,77.0,17.0,16.0,10.0,1.0,1.0,12.0,3.0,4.0,18.0,86.0,16.0,7.0,10.0,3.0,0.0,0
2253,72,7.0,3.0,7.0,32.0,82.0,37.0,13.0,13.0,2.0,0.0,4.0,6.0,2.0,19.0,58.0,22.0,31.0,14.0,2.0,0.0,2
2254,56,2.0,1.0,2.0,23.0,81.0,10.0,16.0,10.0,0.0,0.0,6.0,5.0,6.0,22.0,75.0,19.0,7.0,15.0,1.0,0.0,2
2255,32,7.0,1.0,2.0,17.0,68.0,12.0,22.0,21.0,4.0,1.0,9.0,5.0,8.0,29.0,86.0,9.0,10.0,9.0,1.0,0.0,0
2256,64,4.0,5.0,6.0,15.0,86.0,15.0,12.0,14.0,3.0,0.0,4.0,5.0,5.0,20.0,78.0,18.0,10.0,7.0,2.0,0.0,0
2257,52,4.0,3.0,2.0,19.0,84.0,11.0,17.0,12.0,2.0,0.0,2.0,6.0,10.0,18.0,82.0,18.0,17.0,11.0,2.0,0.0,2
2258,46,1.0,1.0,2.0,35.0,58.0,36.0,22.0,26.0,4.0,0.0,7.0,4.0,4.0,37.0,58.0,24.0,16.0,15.0,2.0,0.0,1
2259,38,7.0,4.0,4.0,13.0,79.0,10.0,9.0,18.0,2.0,0.0,3.0,5.0,3.0,15.0,89.0,11.0,12.0,18.0,2.0,0.0,2
2260,50,5.0,7.0,3.0,24.0,70.0,40.0,23.0,19.0,4.0,0.0,5.0,8.0,12.0,23.0,68.0,25.0,9.0,13.0,0.0,0.0,0
